NUSP,P1,P2,Sub,M1
13695790,5.8,3.3,5.8,5.8
13695806,6.7,2.5,5.8,6.2
13695810,3.3,5.0,8.3,6.3
13695827,5.8,5.0,,5.3
13695831,4.2,4.2,,4.2
13695848,5.0,6.7,,6.0
13695852,7.5,2.5,9.2,8.5
13695869,4.2,4.2,,4.2
13695873,4.2,2.5,5.8,5.2
13695894,5.8,6.7,,6.3
13695914,7.5,4.2,,5.5
13695921,4.2,2.5,3.3,3.7
13695956,5.8,5.0,,5.3
13696071,5.0,1.7,2.5,3.5
13696752,7.5,3.3,,5.0
13716340,6.7,4.2,,5.2
13725142,5.0,2.5,6.7,6.0
13726042,9.2,6.7,,7.7
13726810,7.5,2.5,4.2,5.5
13729956,,3.3,6.7,4.7
13730110,4.2,2.5,5.0,4.7
13730493,7.5,5.8,,6.5
13730732,3.3,5.0,10.0,7.3
13730812,6.7,4.2,,5.2
13731010,7.5,4.2,,5.5
13731052,8.3,1.7,3.3,5.3
13731664,3.3,3.3,1.7,2.7
13731921,7.5,4.2,,5.5
13731970,5.0,1.7,5.0,5.0
13732407,6.7,3.3,,4.7
13732602,6.7,9.2,,8.2
13732731,6.7,5.8,,6.2
13732773,6.7,6.7,,6.7
13732780,4.2,1.7,7.5,6.2
13733496,3.3,3.3,,3.3
13735202,9.2,0.8,4.2,6.2
13749211,2.5,5.0,5.0,5.0
13749225,5.8,5.8,,5.8
13749250,4.2,1.7,5.8,5.2
13749271,1.7,1.7,0.0,1.0
13749292,3.3,2.5,3.3,3.3
13749308,5.8,6.7,,6.3
13749312,5.8,2.5,9.2,7.8
13749354,5.0,2.5,5.0,5.0
13749361,6.7,5.0,,5.7
13749402,4.2,2.5,2.5,3.2
13749420,2.5,4.2,6.7,5.2
13751253,4.2,3.3,2.5,3.2
13751260,5.0,3.3,5.8,5.5
13782741,7.5,2.5,5.0,6.0
13782755,8.3,5.0,,6.3
13782762,4.2,7.5,,6.2
13782776,6.7,3.3,4.2,5.2
13782800,8.3,6.7,,7.3
13782821,3.3,3.3,10.0,7.3
13782838,5.8,4.2,,5.0
13782859,4.2,2.5,5.0,4.7
13782863,4.2,2.5,6.7,5.7
13782870,2.5,2.5,10.0,7.0
13782925,9.2,0.8,2.5,5.2
13782988,5.8,4.2,,5.0
13782992,5.0,4.2,5.0,5.0
13783930,3.3,5.0,,4.3
13826270,5.0,4.2,8.3,7.0
13827688,3.3,5.0,5.8,5.3
13827796,4.2,4.2,,4.2
13828265,5.8,4.2,,5.0
13828272,5.8,2.5,3.3,4.3
13830056,,,,0.0
13830567,5.8,3.3,,4.3
13831144,4.2,4.2,9.2,7.2
13831589,5.8,7.5,,6.8
13834370,4.2,0.8,2.5,3.2
13834384,5.0,2.5,4.2,4.5
13834582,4.2,3.3,9.2,7.2
13834602,5.0,2.5,4.2,4.5
13834679,5.0,5.0,,5.0
13835065,5.0,5.0,,5.0
13835131,2.5,2.5,7.5,5.5
13835298,4.2,1.7,6.7,5.7
13835322,2.5,3.3,8.3,6.0
13835541,2.5,1.7,,2.0
13835704,7.5,5.8,,6.5
13835854,5.0,3.3,0.8,2.5
13836181,8.3,0.8,7.5,7.8
13836410,7.5,4.2,,5.5
13836726,3.3,5.0,,4.3
13836900,3.3,3.3,10.0,7.3
13837108,5.0,3.3,4.2,4.5
13837202,4.2,4.2,4.2,4.2
13837370,6.7,2.5,9.2,8.2
